Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport
7.1,143.0,Không,0,0,8.0,18.0,2,16.0757672,108.2135372, Ông Ích Khiêm,Thanh Bình,hải châu,4,3.8330059149601023,1.7932792754357365,2.3594096584607738
7.2,68.0,Không,1,1,4.5,15.3,4,16.078156,108.2150772, Lý Tự Trọng,Thanh Bình,hải châu,4,3.7717234117749943,2.0788740580823646,2.670660212424873
16.0,170.0,Không,1,0,6.0,20.0,2,16.0409045,108.216236, Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,4,4.274552178367,2.1335238989701337,2.316772417097155
24.45,123.0,Không,1,0,7.1,18.0,2,16.0493796,108.2207225, Núi Thành,Hòa Thuận Đông,hải châu,4,3.3445135163991093,1.4966070293743554,2.117951390785364
3.45,56.0,Không,1,0,4.0,14.0,2,16.0311397,108.2273853, Hóa Sơn 2,Hòa Cường Nam,hải châu,4,4.313258881985078,3.5781123240472743,3.914724933327211
23.5,155.0,Không,1,1,6.0,24.0,1,16.062005,108.2217525, Cô Giang,Phước Ninh,hải châu,4,2.7786042238004756,1.1124147320007802,2.1099651205045076
15.7,80.0,Không,1,1,5.0,16.0,3,16.0486433,108.2485294, An Thượng 1,Mỹ An,ngũ hành sơn,1,1.8009277618289568,4.131352317892098,4.998604841736438
14.7,95.0,Không,1,0,7.5,12.7,4,16.0792623,108.2219154, Đặng Tử Kính,Thạch Thang,hải châu,4,3.170417514982586,2.4312418544709278,3.19271817031909
17.0,121.0,Không,1,0,5.0,24.2,3,16.0756928,108.2429073, Hồ Nghinh,Phước Mỹ,sơn trà,3,1.2944613220717778,3.786414242544354,4.766565448596511
6.1,34.0,Không,1,0,9.0,286.0,2,16.0137464,108.2044932, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,2,7.297900694485221,5.138657187986884,4.814435111087388
7.65,90.0,Không,1,0,4.5,20.0,1,16.0409045,108.216236, Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,4,4.274552178367,2.1335238989701337,2.316772417097155
31.0,78.0,Không,1,1,10.0,29.0,3,16.0577109,108.2071212, Nguyễn Tri Phương,Thạc Gián,thanh khê,7,4.398151517273825,0.5298745855721378,0.4799047847964753
31.0,78.0,Không,1,0,9.6,29.0,3,16.0577109,108.2071212, Nguyễn Tri Phương,Thạc Gián,thanh khê,7,4.398151517273825,0.5298745855721378,0.4799047847964753
24.0,190.0,Không,1,0,10.0,19.0,2,16.0320034,108.2149433, Xô Viết Nghệ Tĩnh,Hòa Cường Nam,hải châu,4,5.041569091408144,3.081417486238519,3.0840291537183595
8.0,100.0,Không,1,0,5.0,20.0,4,16.0211542,108.2065983, Hà Tông Quyền,Khuê Trung,cẩm lệ,2,6.528920245396716,4.295695938128101,4.0128531176394535
6.8,81.0,Không,1,0,4.5,18.0,3,16.0379106,108.2149809, Nguyễn Phẩm,Hòa Cường Bắc,hải châu,4,4.588953251242313,2.4337846629821036,2.5102402002278135
14.5,106.0,Không,1,0,6.2,17.0,3,16.0382864,108.2213353, Núi Thành,Hòa Cường Bắc,hải châu,4,4.066315876444203,2.5832374518382917,2.8948143390259196
13.0,90.0,Không,1,0,5.0,18.0,3,16.0500842,108.2170537, Lê Đình Thám,Hòa Thuận Đông,hải châu,4,3.6513084003744862,1.2081348459811625,1.7301866778981936
10.5,174.0,Không,1,0,9.5,20.0,3,16.0780214,108.1466968, Phạm Văn Tráng,Hòa Khánh Bắc,liên chiểu,6,10.88816723123961,7.239734826625399,6.415809160926546
9.5,9.0,Không,1,0,11.0,19.0,1,16.0608503,108.1882335, Cù Chính Lan,Hòa Khê,thanh khê,7,6.36249508351294,2.508154722107072,1.5957250726212269
22.3,55.0,Không,1,0,12.75,20.0,4,16.0418324,108.2478355, Trần Văn Dư,Mỹ An,ngũ hành sơn,1,2.551740469057354,4.34678982241341,5.124626319899286
11.0,198.0,Không,1,0,11.0,19.0,3,16.0172054,108.2084021, Phan Văn Trị,Khuê Trung,cẩm lệ,2,6.737453259158979,4.711399097584559,4.470048515679327
13.0,84.0,Không,1,0,4.5,19.0,3,16.0572971,108.2189031, Phan Châu Trinh,Phước Ninh,hải châu,4,3.1782063433474734,0.8200167881529893,1.7375190636934414
22.1,7.0,Không,1,0,9.0,23.0,2,16.0490814,108.2194306, Duy Tân,Hòa Thuận Đông,hải châu,4,3.480357239690016,1.4375325654049007,2.0072219405627982
4.9,68.0,Không,1,1,4.5,15.0,2,16.0789946,108.2149183, Hải Hồ,Thanh Bình,hải châu,4,3.824309318250638,2.167457805734444,2.7433922900828707
6.2,90.0,Không,1,0,5.0,18.0,3,16.0585706,108.2054324, Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,4,4.5604363210459615,0.6753726808198405,0.3317920992642868
5.3,100.0,Không,1,0,5.0,20.0,1,16.0507294,108.1792194, Nguyễn Đình Tứ,Hòa An,cẩm lệ,2,7.477510679119202,3.607527805824854,2.6095606978485524
13.7,31.0,Không,1,0,8.5,27.0,1,16.0418324,108.2478355, Trần Văn Dư,Mỹ An,ngũ hành sơn,1,2.551740469057354,4.34678982241341,5.124626319899286
5.9,87.0,Không,1,0,3.8,17.0,2,16.0674661,108.1932536, Thái Thị Bôi,Chính Gián,thanh khê,7,5.816508032438447,2.148548751079927,1.5167105211395546
14.0,98.0,Không,1,0,5.1,17.0,3,16.077247,108.2196748, Lý Tự Trọng,Thạch Thang,hải châu,4,3.280930062097949,2.126937362188647,2.8679327567243256
11.0,76.0,Không,1,0,7.0,11.0,3,16.0810631,108.217488, Lương Ngọc Quyến,Thuận Phước,hải châu,4,3.680746407541048,2.4490498089336112,3.078691608961818
5.3,8.0,Không,1,0,5.0,16.5,3,16.0378612,108.2145629, Ngô Thị Liễu,Hòa Cường Bắc,hải châu,4,4.626545701464605,2.4330419184745744,2.4917462112960544
55.0,700.0,Không,1,0,15.0,46.0,1,16.0579948,108.2437589, Tô Hiến Thành,Phước Mỹ,sơn trà,3,0.8640965818913763,3.4416108154783465,4.397996770568794
7.2,126.0,Không,1,0,5.0,25.0,3,16.0943145,108.2295944, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,3,3.7804953192579465,4.288439754330349,5.015352797795058
7.0,50.0,Không,1,0,4.0,13.0,3,16.0631819,108.1848702, Huỳnh Ngọc Huệ,An Khê,thanh khê,7,6.709270586723101,2.890895199502064,2.01527528262713
69.0,404.0,Không,1,0,20.0,20.0,2,16.0656447,108.2017156, Điện Biên Phủ,Chính Gián,thanh khê,7,4.904825881595817,1.25131956440354,0.9380805306906459
14.0,77.0,Không,1,0,4.26,18.2,4,16.0572971,108.2189031, Phan Châu Trinh,Phước Ninh,hải châu,4,3.1782063433474734,0.8200167881529893,1.7375190636934414
15.0,118.0,Không,1,0,6.0,16.0,1,16.0784291,108.2194114, Lê Lợi,Thạch Thang,hải châu,4,3.3627667252479254,2.236583708847542,2.953000530041072
6.5,74.0,Không,1,0,5.86,15.0,4,16.0834178,108.2180009, Ngô Chi Lan,Thuận Phước,hải châu,4,3.7680696098154334,2.7150264062480303,3.33143385726721
6.5,125.0,Không,1,0,5.0,25.0,2,16.0899243,108.2356287, Khúc Hạo,Nại Hiên Đông,sơn trà,3,3.0497341698095113,4.218831609521078,5.053577315996597
