Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport,Prices_normalized,prices_capped,log_prices,Area_capped,log_Area,floors_capped,width_capped,log_width,length_capped,log_length
8.5,100.0,Không,1,1,5.0,20.0,4,16.025345,108.2121536, Bình Hòa 4,Khuê Trung,cẩm lệ,2,5.787561027724534,3.798302738258644,3.6702146649684217,0.02388535031847134,8.5,2.1400661634962708,100.0,4.605170185988092,4,5.0,1.6094379124341003,20.0,2.995732273553991
6.0,110.0,Không,1,1,5.0,22.0,1,16.0063777,108.2078822, Phạm Hùng,Hòa Xuân,cẩm lệ,2,7.742359078689389,5.910516326332974,5.653504684737835,0.01592356687898089,6.0,1.791759469228055,110.0,4.700480365792417,1,5.0,1.6094379124341003,22.0,3.091042453358316
4.15,80.0,Không,1,1,5.0,16.0,3,16.0221996,108.2129834, Bình Hòa 14,Khuê Trung,cẩm lệ,2,5.999896146427057,4.148459751680958,4.0292800065276175,0.010031847133757963,4.15,1.423108334242607,80.0,4.382026634673881,3,5.0,1.6094379124341003,16.0,2.772588722239781
4.9,100.0,Không,1,1,5.0,20.0,3,16.0214579,108.1974153, Nguyễn Khoa Chiêm,Hòa Thọ Đông,cẩm lệ,2,7.202834201160636,4.493786762439407,3.996799432333303,0.012420382165605096,4.9,1.589235205116581,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
7.5,75.0,Không,1,1,5.7,13.0,2,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.562607019073472,3.976662923297844,3.9759391368219577,0.020700636942675158,7.5,2.0149030205422647,75.0,4.31748811353631,2,5.7,1.7404661748405046,13.0,2.5649493574615367
5.0,120.0,Không,1,1,5.0,24.0,3,16.0198819,108.1968795, Hoàng Đạo Thúy,Hòa Thọ Đông,cẩm lệ,2,7.362495333947553,4.67730194197463,4.177651059850487,0.012738853503184714,5.0,1.6094379124341003,120.0,4.787491742782046,3,5.0,1.6094379124341003,24.0,3.1780538303479458
4.8,67.0,Không,1,1,11.07,6.91,4,16.0227751,108.200433, Trường Chinh,Hòa Thọ Đông,cẩm lệ,2,6.865870059732111,4.254857679806927,3.818833798247972,0.012101910828025477,4.8,1.5686159179138452,67.0,4.204692619390966,4,11.07,2.4042387467205457,6.91,1.9329696377795786
18.8,170.0,Đông,1,1,5.0,34.0,4,16.0524115,108.2090289, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,4,4.346895782169306,0.8500454561579067,0.8639978075900642,0.056687898089171976,18.8,2.9338568698359038,170.0,5.135798437050262,4,5.0,1.6094379124341003,34.0,3.5263605246161616
4.4,95.0,Không,1,1,5.0,19.0,3,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,2,6.975815789478457,4.412896672312063,3.984146342579829,0.010828025477707007,4.4,1.4816045409242156,95.0,4.553876891600541,3,5.0,1.6094379124341003,19.0,2.9444389791664403
3.9,90.0,Không,1,1,5.0,18.0,3,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,2,6.975815789478457,4.412896672312063,3.984146342579829,0.009235668789808917,3.9,1.3609765531356006,90.0,4.499809670330265,3,5.0,1.6094379124341003,18.0,2.8903717578961645
