price,area,road_width,floors,bedroom,loc,garage
: 25 tỷ,"120 m
2",7m,3 lầu,3 phòng ngủ,"Đường An Thượng 4, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
: 40 tỷ,"270 m
2",10m,4 lầu,4 phòng ngủ,"Đường Thăng Long, Phường Hòa Cường Nam, Quận Hải Châu,",0
: 27 tỷ,"160 m
2",7m,4 lầu,12 phòng ngủ,"Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
: 335 triệu / m2,"211 m
2",32m,2 lầu,2 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",0
: 101 tỷ,"356 m
2",10m,3 lầu,3 phòng ngủ,"Đường Lê Duẩn, Phường Hải Châu I, Quận Hải Châu,",0
: 60 tỷ,"211 m
2",32m,3 lầu,4 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,",0
: 45 tỷ,"239 m
2",7m,4 lầu,8 phòng ngủ,"Đường Lý Thường Kiệt, Phường Thạch Thang, Quận Hải Châu,",0
: 52 tỷ,"207 m
2",15m,4 lầu,8 phòng ngủ,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê,",0
": 23,5 tỷ","106 m
2",20m,4 lầu,4 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,",0
: 50 tỷ,"211 m
2",20m,4 lầu,8 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,",0
: 20 tỷ,"200 m
2",5m,4 lầu,25 phòng ngủ,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",0
": 18,5 tỷ","78 m
2",20m,4 lầu,5 phòng ngủ,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê,",0
