price,area,road_width,floors,bedroom,loc,garage
3.7,140.0,10.0,1.0,4.0,"Đường Lê Trọng Tấn, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",0
4.7,70.0,5.0,2.0,4.0,"Đường Cao Xuân Huy, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
6.9,56.0,75.0,3.0,3.0,"Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1
4.3,99.0,7.0,2.0,3.0,"Đường Trần Xuân Soạn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1
2.8,85.0,5.0,2.0,3.0,"Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",1
2.95,100.0,4.0,3.0,4.0,"Đường Nguyễn Mộng Tuân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",1
5.0,9.0,6.0,1.0,3.0,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1
4.35,85.0,5.0,2.0,3.0,"Đường Nguyễn Lai, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1
4.4,66.0,5.0,3.0,3.0,"Đường Lâm Hoành, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1
3.9,100.0,5.0,2.0,3.0,"Đường An Hòa, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1
3.8,75.0,75.0,3.0,3.0,"Đường Phó Đức Chính, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",0
4.2,85.0,10.0,2.0,3.0,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
4.9,100.0,5.0,2.0,3.0,"Đường Phạm Khiêm Ích, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",1
3.4,50.0,5.0,3.0,3.0,"Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",1
3.25,60.0,5.0,2.0,3.0,"Đường Đỗ Thúc Tịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
2.3,70.0,5.0,2.0,2.0,"Đường Nguyễn Đình Tứ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",0
3.5,100.0,5.0,1.0,2.0,"Đường Đa Mặn, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",1
6.6,15.0,15.0,3.0,4.0,"Đường Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",0
6.0,15.0,7.0,2.0,3.0,"Đường Lương Thế Vinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",1
2.4,50.0,3.0,2.0,3.0,"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",0
2.25,50.0,3.0,2.0,2.0,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng",0
2.1,50.0,2.0,2.0,2.0,"Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",0
3.02,60.0,35.0,2.0,2.0,"Đường Ngô Quyền, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",1
7.95,100.0,55.0,4.0,7.0,"Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",1
7.2,80.0,75.0,2.0,2.0,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",1
7.199,65.0,60.0,3.0,4.0,"Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",1
12.499,100.0,12.0,2.0,3.0,"Đường Chính Hữu, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",1
3.999,85.0,55.0,1.0,2.0,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1
8.599,195.0,55.0,1.0,4.0,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",1
5.199,60.0,55.0,2.0,3.0,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",1
17.3,110.0,55.0,5.0,11.0,"Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",1
9.999,150.0,55.0,2.0,9.0,"Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1
5.3,110.0,55.0,1.0,5.0,"Đường Nguyễn Thế Lộc, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",1
4.05,90.0,6.0,2.0,4.0,"Đường Nguyễn Công Trứ, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1
9.7,10.0,55.0,1.0,3.0,"Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",1
22.499,160.0,10.0,4.0,6.0,"Đường Phạm Văn Đồng, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",1
6.999,10.0,5.0,1.0,3.0,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",1
7.299,140.0,8.0,1.0,4.0,"Đường Vương Thừa Vũ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",1
6.749,70.0,55.0,2.0,3.0,"Đường Hoàng Kế Viêm, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",1
62.0,94.0,10.0,6.0,1.0,"Đường Ông Ích Khiêm, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",1
6.45,56.0,37.0,3.0,3.0,"Đường Phạm Tu, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",0
11.0,75.0,10.0,3.0,3.0,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",1
15.99,105.0,10.0,4.0,4.0,"Đường Trần Duy Chiến, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",1
6.5,97.0,10.0,3.0,4.0,"Đường Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",1
